"","label","alpha","mean","sd"
"1","Neuroticism",0.826746598222159,2.91008902077151,0.586565951166269
"2","Extraversion",0.875365203992072,3.37077151335312,0.538490810256841
"3","Openness",0.896473654337881,3.63937795362128,0.406562569694494
"4","Agreeableness",0.833877748115768,3.63635014836795,0.446156757092115
"5","Conscientiousness",0.773170842240975,3.4851137487636,0.512139467249152
"6","N: Anxiety",0.846709810326666,3.09762611275964,0.734113696450417
"7","N: Anger",0.875149216537204,2.85281899109792,0.799925260568391
"8","N: Depression",0.873103860200274,2.60593471810089,0.879170554996702
"9","N: Self-consciousness",0.842643812647058,2.9433234421365,0.774149836581132
"10","N: Immoderation",0.72057074263503,3.23560830860534,0.703546924300481
"11","N: Vulnerability",0.816796537692674,2.72522255192878,0.746809898654264
"12","E: Friendliness",0.823931307578018,3.59940652818991,0.7780850296784
"13","E: Gregariousness",0.819291011518028,3.31721068249258,0.837833405636127
"14","E: Assertiveness",0.753562769915703,3.24362017804154,0.7428403969265
"15","E: Activity Level",0.767738684616104,3.01275964391691,0.569604952731332
"16","E: Excitement Seeking",0.759816734027032,3.29703264094955,0.723411709821999
"17","E: Cheerfulness",0.789159557773766,3.75459940652819,0.665464774299121
"18","O: Imagination",0.649871742683197,3.73204747774481,0.70545047926239
"19","O: Artistic Interests",0.847553705139204,3.9566765578635,0.623516042450295
"20","O: Emotionality",0.773442561050019,3.76409495548961,0.622866713942536
"21","O: Adventurousness",0.794735918787853,3.47448071216617,0.591458382498771
"22","O: Intellect",0.748413951190747,3.69762611275964,0.644847021564694
"23","O: Liberalism",0.796398359750661,3.21134190570392,0.603541641241838
"24","A: Trust",0.725508403751509,3.43204747774481,0.695679453844269
"25","A: Morality",0.804035048104352,3.84688427299703,0.621009231601325
"26","A: Altruism",0.836181213394714,4.0272997032641,0.567022409510256
"27","A: Cooperation",0.686684491813693,3.54688427299703,0.667259918672927
"28","A: Modesty",0.840365100193528,3.28041543026706,0.701127369889963
"29","A: Sympathy",0.886760228036818,3.68456973293769,0.585132673730405
"30","C: Self-Efficacy",0.797290445572149,3.69287833827893,0.565850886917925
"31","C: Orderliness",0.850859393967136,3.33175074183976,0.77986237160017
"32","C: Dutifulness",0.837918279154787,3.94362017804154,0.504529434764728
"33","C: Achievement Striving",0.715142403863603,3.67151335311573,0.701415507991465
"34","C: Self-Discipline",0.786325078899786,3.00652818991098,0.8314245484161
"35","C: Cautiousness",0.841966690793092,3.26439169139466,0.671602340127024
"36","Satisfaction with Life",0.877988450617364,4.47299703264095,1.43759499996339
"37","Positive Affect",0.892109131015375,3.47210682492582,0.794171109055998
"38","Negative Affect",0.871506014848395,2.21246290801187,0.80053489518681
"39","Positive Relations",0.886517157855243,4.41733785502332,0.903715140493463
"40","Autonomy",0.846932721982942,4.08117846545146,0.825629978095647
"41","Environmental Mastery",0.882016361870333,4.06846121237813,0.869746990489983
"42","Personal Growth",0.855616329505055,4.84824077999152,0.686610604790276
"43","Purpose in Life",0.890667562113198,4.35756676557863,0.911522484946867
"44","Self-Acceptance",0.935266001892331,4.05574395930479,1.07394652217826
