"","Factor1","Factor2","Factor3","Factor4","Factor5"
"ipip_n_anxiety","","","","0.84",""
"ipip_n_anger","","","","0.76",""
"ipip_n_depression","-0.43","","","0.41",""
"ipip_n_self_consciousness","-0.51","","","0.36",""
"ipip_n_immoderation","","-0.41","","",""
"ipip_n_vulnerability","","","","0.68",""
"ipip_e_friendliness","0.94","","","",""
"ipip_e_gregariousness","0.9","","","",""
"ipip_e_assertiveness","0.53","0.4","-0.39","",""
"ipip_e_activity_level","","0.59","","",""
"ipip_e_excitement_seeking","0.53","","","",""
"ipip_e_cheerfulness","0.75","","","",""
"ipip_o_imagination","","","","","0.67"
"ipip_o_artistic_interests","","","","","0.51"
"ipip_o_emotionality","","","","0.51","0.67"
"ipip_o_adventurousness","","","","","0.39"
"ipip_o_intellect","","","","","0.71"
"ipip_o_liberalism","","","","","0.5"
"ipip_a_trust","0.56","","0.49","",""
"ipip_a_morality","","","0.75","",""
"ipip_a_altruism","0.5","","0.7","",""
"ipip_a_cooperation","","","0.77","",""
"ipip_a_modesty","","","0.55","",""
"ipip_a_sympathy","","","0.7","","0.42"
"ipip_c_self_efficacy","","0.69","","",""
"ipip_c_orderliness","","0.69","","",""
"ipip_c_dutifulness","","0.55","0.51","",""
"ipip_c_achievement_striving","","0.8","","",""
"ipip_c_self_discipline","","0.72","","",""
"ipip_c_cautiousness","-0.42","0.54","","",""
